DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.013938139192759991" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.015478476881980896" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.017007987946271896" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.024299701675772667" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.031900681555271149" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18)))))))))+0.10322412103414536" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.11164349317550659)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.047182850539684296)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.052375361323356628)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.053776420652866364)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.069460183382034302)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.079300597310066223)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.097916044294834137)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.079892709851264954)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.23228603601455688)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.044657398015260696)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.018873140215873718)" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.020950144156813622)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.021510567516088486)" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.027784071862697601)" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.031720239669084549)" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.039166416972875595)" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.031957082450389862)" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.02954+((4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18))))))-0.092914417386054993)" 
0, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.11164349317550659" 
0, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.047182850539684296" 
0, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.052375361323356628" 
0, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.053776420652866364" 
0, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.069460183382034302" 
0, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.079300597310066223" 
0, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.097916044294834137" 
0, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.079892709851264954" 
0, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.23228603601455688" 
0, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.044657398015260696" 
0, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.018873140215873718" 
0, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.020950144156813622" 
0, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.021510567516088486" 
0, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.027784071862697601" 
0, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.031720239669084549" 
0, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.039166416972875595" 
0, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.031957082450389862" 
0, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.02954+(4.49371e-06*(log(x+19)*(log(x+18)*(3-(189.069*log(x+18)))))))+0.092914417386054993" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x)))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x)))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.15363851189613342" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.051458369940519333" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.047412633895874023" 
1, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.046443741768598557" 
1, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.054255411028862" 
1, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.063437998294830322" 
1, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.10723322629928589" 
1, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.11035732179880142" 
1, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.33290150761604309" 
