DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18))))))))+0.01452415157109499" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18))))))))+0.014820719137787819" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18))))))))+0.023911168798804283" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18))))))))+0.038517899811267853" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18))))))))+0.060251262038946152" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.21543+(-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.21543+(-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.090723589062690735)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.038064524531364441)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.054644789546728134)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.047806058079004288)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.073910936713218689)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.08199792355298996)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.21182739734649658)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.13336411118507385)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.15447218716144562)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.036289434880018234)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.015225809067487717)" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.021857915446162224)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.21543+((-(0.00929025*(log(x+19)*(log(x+18)*(3-(0.358931*log(x+18)))))))-0.019122423604130745)" 
