#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: Apr 8, 2015
#######################################################################
#IF YOU USE THESE NUMBERS, CITE *AT LEAST* THE REFERENCES GIVEN HERE: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHXSWGMSSMCharged#Citation_guide
#######################################################################
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=13 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
#The numbers for type-II 2HDM can also be applied to type I/III/IV, if you follow the recipe outline at the end of Section 6 of arXiv:1409.5615
mhp tb xsec unc- unc+
260 11 0.0759941 0.015047 0.0149039 
260 12 0.0846189 0.0167644 0.016604 
260 13 0.0951443 0.0188194 0.0186369 
260 14 0.125744 0.0434025 0.0430912 
260 15 0.119816 0.0238302 0.0235977 
260 16 0.134444 0.0265101 0.0262485 
260 17 0.149673 0.0296384 0.0293464 
260 18 0.166871 0.0328275 0.0324997 
260 19 0.184242 0.0366422 0.0362815 
260 20 0.202999 0.0400746 0.0396768 
260 25 0.313221 0.0619258 0.0613096 
260 30 0.448933 0.0891441 0.0882576 
260 35 0.610498 0.120787 0.119578 
260 40 0.795706 0.15731 0.155737 
260 45 1.02251 0.217953 0.215875 
260 50 1.24347 0.247725 0.245261 
260 55 1.50346 0.295259 0.292283 
260 60 1.7864 0.353798 0.350258 
280 0.1 166.973 36.0908 35.0607 
280 0.2 40.4333 9.08323 8.85301 
280 0.3 18.5702 4.00515 3.89022 
280 0.4 10.4569 2.279 2.21418 
280 0.5 6.7385 1.45957 1.41701 
280 0.6 4.6397 1.00235 0.973644 
280 0.7 3.41449 0.737282 0.716083 
280 0.8 2.61269 0.562589 0.546411 
280 0.9 2.06217 0.443418 0.43064 
280 1 1.67101 0.361312 0.350983 
280 2 0.469359 0.143501 0.139834 
280 3 0.189021 0.0410228 0.0398533 
280 4 0.10913 0.0231372 0.0224849 
280 5 0.0769254 0.0165689 0.0160836 
280 6 0.0609714 0.0131354 0.0127444 
280 7 0.0541171 0.0116728 0.0113171 
280 8 0.0584564 0.0189218 0.0184391 
280 9 0.054001 0.0116528 0.0112807 
280 10 0.0579742 0.0125348 0.0121275 
280 11 0.0638429 0.01382 0.013365 
280 12 0.0712402 0.0154117 0.014898 
280 13 0.0799107 0.0173197 0.0167388 
280 14 0.0899758 0.0195268 0.0188662 
280 15 0.10109 0.0218257 0.0210759 
280 16 0.107742 0.0252201 0.0244957 
280 17 0.125737 0.0273795 0.0264505 
280 18 0.13978 0.0305619 0.0295274 
280 19 0.185212 0.0672717 0.065466 
280 20 0.169519 0.0368234 0.0355784 
280 25 0.262621 0.0568268 0.0548668 
280 30 0.376404 0.0815638 0.0787499 
280 35 0.511246 0.110877 0.107055 
280 40 0.669997 0.145661 0.140614 
280 45 0.844989 0.183624 0.177288 
280 50 1.00782 0.228613 0.221566 
280 55 1.23554 0.264184 0.255285 
280 60 1.43528 0.340902 0.331054 
300 0.1 141.36 26.7884 26.2858 
300 0.2 35.356 6.71929 6.59384 
300 0.3 15.7109 3.00927 2.95332 
300 0.4 8.84278 1.68131 1.64995 
300 0.5 5.66359 1.07987 1.05977 
300 0.6 3.92878 0.748335 0.734398 
300 0.7 2.88934 0.550808 0.540572 
300 0.8 2.21236 0.420472 0.412631 
300 0.9 1.74498 0.332433 0.326234 
300 1 1.41399 0.271178 0.266147 
300 2 0.354991 0.0678666 0.0666071 
300 3 0.159863 0.0305064 0.0299379 
300 4 0.0938145 0.0178885 0.0175541 
300 5 0.0650948 0.0123381 0.012103 
300 6 0.0516587 0.00981067 0.00962035 
300 7 0.0457773 0.00873513 0.00856224 
300 8 0.0442161 0.00836595 0.00819506 
300 9 0.0456105 0.00868046 0.00849962 
300 10 0.0488949 0.00925874 0.00906128 
300 11 0.0537996 0.0101048 0.00988448 
300 12 0.0600296 0.0113453 0.0110965 
300 13 0.0673583 0.0126698 0.0123885 
300 14 0.0756926 0.0142334 0.0139152 
300 15 0.0848885 0.0159615 0.0156033 
300 16 0.0950008 0.0177928 0.0173906 
300 17 0.106021 0.0200001 0.0195508 
300 18 0.117503 0.0219336 0.0214336 
300 19 0.130514 0.0247108 0.024154 
300 20 0.1436 0.0273912 0.0267767 
300 25 0.221063 0.0414413 0.0404927 
300 30 0.31676 0.059528 0.0581659 
300 35 0.430798 0.0810377 0.079185 
300 40 0.561754 0.105357 0.102937 
300 45 0.710963 0.13381 0.130748 
300 50 0.877389 0.165128 0.161351 
300 55 1.06289 0.198035 0.193461 
300 60 1.26475 0.236265 0.230818 
320 0.1 120.8 23.9742 23.8106 
320 0.2 30.1693 5.98 5.93942 
320 0.3 13.4871 2.6819 2.66353 
320 0.4 7.58769 1.51453 1.50416 
320 0.5 4.83517 0.962776 0.956234 
320 0.6 3.36172 0.669616 0.665067 
320 0.7 2.46926 0.492363 0.489016 
320 0.8 1.91508 0.391022 0.388332 
320 0.9 1.5019 0.299141 0.297076 
320 1 1.21083 0.240533 0.238883 
320 2 0.304276 0.0604238 0.0600087 
320 3 0.136934 0.027491 0.0273057 
320 4 0.0770799 0.0175591 0.0174652 
320 5 0.0549481 0.0109332 0.0108599 
320 6 0.0446931 0.00902973 0.0089648 
320 7 0.0386148 0.00764042 0.00758623 
320 8 0.0377946 0.00749996 0.00744401 
320 9 0.0388912 0.00773756 0.00767858 
320 10 0.0381767 0.0105893 0.0105424 
320 11 0.0443925 0.00970554 0.00964102 
320 12 0.0504685 0.0100407 0.00996321 
320 13 0.0592415 0.0129757 0.012875 
320 14 0.0558179 0.0188746 0.0188139 
320 15 0.0727077 0.0144552 0.0143366 
320 16 0.0827145 0.0172159 0.017076 
320 17 0.0904114 0.0179811 0.0178337 
320 18 0.100355 0.0199506 0.0197868 
320 19 0.112756 0.0231811 0.0229905 
320 20 0.121671 0.0240331 0.023836 
320 25 0.187954 0.0373246 0.0370164 
320 30 0.272379 0.054501 0.0540451 
320 35 0.36665 0.0726564 0.0720534 
320 40 0.478938 0.0954446 0.094655 
320 45 0.601721 0.119393 0.118414 
320 50 0.748902 0.149076 0.147837 
320 55 0.906778 0.18066 0.179157 
320 60 1.06243 0.208199 0.206495 
340 0.1 103.18 21.3539 21.2099 
340 0.2 25.8649 5.36827 5.33219 
